,PCX,Highest contributing feature
0,PC1,nHeavyAtom
1,PC2,ETA_dEpsilon_A
2,PC3,ETA_dPsi_A
3,PC4,AETA_eta
4,PC5,GATS1c
5,PC6,ATSC1c
6,PC7,nG12FARing
7,PC8,n5Ring
8,PC9,ATSC2i
9,PC10,ATSC1m
10,PC11,SMR_VSA3
11,PC12,MATS2c
12,PC13,SaaN
13,PC14,nFRing
14,PC15,ATSC5se
15,PC16,NaasN
16,PC17,nHBDon
17,PC18,ATSC5are
18,PC19,nFaRing
19,PC20,n7HRing
20,PC21,C1SP1
21,PC22,n9FHRing
22,PC23,StsC
23,PC24,pfp665
24,PC25,pfp127
25,PC26,SsNH2
26,PC27,pfp597
27,PC28,pfp629
28,PC29,NdsCH
29,PC30,pfp1003
30,PC31,pfp504
31,PC32,pfp803
32,PC33,pfp747
33,PC34,pfp365
34,PC35,pfp365
35,PC36,pfp697
36,PC37,ATSC4v
37,PC38,pfp694
38,PC39,StCH
39,PC40,pfp757
40,PC41,pfp758
41,PC42,pfp261
42,PC43,pfp576
43,PC44,pfp664
44,PC45,pfp380
45,PC46,pfp419
46,PC47,pfp328
47,PC48,StCH
48,PC49,pfp145
49,PC50,pfp224
50,PC51,pfp777
51,PC52,SsBr
52,PC53,pfp41
53,PC54,pfp730
54,PC55,pfp730
55,PC56,pfp264
56,PC57,pfp264
57,PC58,pfp246
58,PC59,SddssS
59,PC60,pfp479
60,PC61,pfp318
61,PC62,pfp727
62,PC63,pfp370
63,PC64,pfp1003
64,PC65,pfp781
65,PC66,pfp224
66,PC67,pfp41
67,PC68,pfp212
68,PC69,pfp727
69,PC70,pfp125
70,PC71,pfp843
71,PC72,pfp321
72,PC73,pfp390
73,PC74,pfp738
74,PC75,pfp573
75,PC76,pfp584
76,PC77,pfp340
77,PC78,pfp768
78,PC79,pfp91
79,PC80,pfp876
80,PC81,pfp540
81,PC82,pfp91
82,PC83,pfp229
83,PC84,pfp876
84,PC85,pfp324
85,PC86,pfp93
86,PC87,pfp615
87,PC88,pfp17
88,PC89,pfp444
89,PC90,pfp571
90,PC91,pfp265
91,PC92,pfp150
92,PC93,SsSH
93,PC94,pfp796
