,PCX,Highest contributing feature
0,PC1,VR1_Dzp
1,PC2,FilterItLogS
2,PC3,Xch-7dv
3,PC4,AMID_h
4,PC5,ETA_dBeta
5,PC6,pfp2045
6,PC7,ATSC1i
7,PC8,pfp341
8,PC9,SMR_VSA1
9,PC10,SdS
10,PC11,pfp242
11,PC12,SssssC
12,PC13,SaaN
13,PC14,pfp333
14,PC15,pfp1945
15,PC16,pfp1836
16,PC17,n9FAHRing
17,PC18,pfp1783
18,PC19,pfp1498
19,PC20,pfp1815
20,PC21,pfp384
21,PC22,pfp1940
22,PC23,pfp993
23,PC24,pfp577
24,PC25,MATS1c
25,PC26,pfp2029
26,PC27,pfp379
27,PC28,pfp1565
28,PC29,pfp1445
29,PC30,pfp1329
30,PC31,pfp388
31,PC32,pfp1150
32,PC33,NaaNH
33,PC34,pfp424
34,PC35,pfp944
35,PC36,pfp1056
36,PC37,pfp583
37,PC38,pfp554
38,PC39,pfp1360
39,PC40,n7HRing
40,PC41,pfp1645
41,PC42,n7HRing
42,PC43,pfp932
43,PC44,pfp737
44,PC45,pfp1724
45,PC46,pfp124
46,PC47,pfp1419
47,PC48,n10FARing
48,PC49,pfp1881
49,PC50,C1SP1
50,PC51,pfp1815
51,PC52,C1SP1
52,PC53,pfp320
53,PC54,pfp320
54,PC55,ETA_dEpsilon_D
55,PC56,n3HRing
56,PC57,pfp851
57,PC58,NdsN
58,PC59,pfp515
59,PC60,pfp98
60,PC61,pfp847
61,PC62,pfp851
62,PC63,pfp1274
63,PC64,NdsN
64,PC65,NdsN
65,PC66,pfp1039
66,PC67,pfp1531
67,PC68,NdsN
68,PC69,pfp346
69,PC70,pfp725
70,PC71,pfp1132
71,PC72,pfp634
72,PC73,NddssS
73,PC74,pfp640
74,PC75,pfp1192
75,PC76,pfp1041
76,PC77,pfp1887
77,PC78,pfp1896
78,PC79,pfp1896
79,PC80,ATSC3are
80,PC81,pfp1821
81,PC82,pfp593
82,PC83,pfp1847
83,PC84,nBr
84,PC85,pfp1330
85,PC86,StCH
86,PC87,nG12FaRing
87,PC88,pfp852
88,PC89,SaaS
89,PC90,pfp851
90,PC91,pfp1086
91,PC92,pfp724
92,PC93,pfp428
93,PC94,StCH
94,PC95,SdCH2
95,PC96,SaaS
96,PC97,pfp801
97,PC98,pfp310
98,PC99,pfp435
99,PC100,pfp983
100,PC101,pfp1548
101,PC102,pfp654
102,PC103,pfp753
103,PC104,pfp903
104,PC105,nG12FaRing
105,PC106,pfp903
106,PC107,pfp332
107,PC108,pfp566
108,PC109,pfp1106
109,PC110,pfp1441
110,PC111,SdCH2
111,PC112,pfp1398
112,PC113,n4HRing
113,PC114,pfp1293
114,PC115,pfp717
115,PC116,pfp814
116,PC117,pfp1756
117,PC118,pfp1502
118,PC119,pfp1684
119,PC120,pfp1556
120,PC121,n4HRing
121,PC122,n4HRing
122,PC123,SsSH
123,PC124,n4HRing
124,PC125,pfp1792
125,PC126,pfp1015
126,PC127,pfp310
127,PC128,n10FaRing
128,PC129,n4HRing
129,PC130,pfp1684
130,PC131,n4HRing
131,PC132,pfp310
132,PC133,pfp1801
133,PC134,n4HRing
134,PC135,pfp1809
135,PC136,SsSH
136,PC137,pfp741
137,PC138,pfp45
138,PC139,pfp911
139,PC140,SdssC
140,PC141,SdssC
141,PC142,PEOE_VSA5
142,PC143,JGI3
143,PC144,nBase
144,PC145,pfp110
145,PC146,n4HRing
146,PC147,Xc-6dv
147,PC148,n5AHRing
148,PC149,pfp131
149,PC150,pfp1946
150,PC151,pfp1589
151,PC152,pfp1789
152,PC153,pfp1435
153,PC154,pfp1029
154,PC155,pfp1412
155,PC156,BCUTm-1l
156,PC157,pfp224
157,PC158,pfp1058
158,PC159,pfp131
159,PC160,NsSH
160,PC161,pfp771
161,PC162,BCUTm-1l
162,PC163,SssS
163,PC164,SdCH2
164,PC165,BCUTm-1l
165,PC166,pfp1435
166,PC167,pfp1233
167,PC168,pfp1605
168,PC169,pfp1170
169,PC170,pfp537
170,PC171,pfp1661
171,PC172,pfp1170
172,PC173,pfp1564
173,PC174,Xc-6dv
174,PC175,pfp1435
175,PC176,pfp912
176,PC177,pfp932
177,PC178,pfp729
178,PC179,pfp110
179,PC180,pfp1934
180,PC181,pfp1192
181,PC182,pfp1057
182,PC183,pfp582
183,PC184,pfp1551
184,PC185,pfp431
185,PC186,pfp628
