,PCX,Highest contributing feature
0,PC1,nHeavyAtom
1,PC2,Mpe
2,PC3,GATS1p
3,PC4,AETA_eta
4,PC5,NssssC
5,PC6,ATSC1c
6,PC7,MPC9
7,PC8,n5Ring
8,PC9,ATSC2v
9,PC10,AATSC0i
10,PC11,ATSC1p
11,PC12,MATS1Z
12,PC13,naHRing
13,PC14,SMR_VSA3
14,PC15,nHBDon
15,PC16,AMID_N
16,PC17,SlogP_VSA8
17,PC18,n7HRing
18,PC19,nBondsT
19,PC20,n5HRing
20,PC21,NaaNH
21,PC22,ATSC2d
22,PC23,n4Ring
23,PC24,nFaRing
24,PC25,n10FHRing
25,PC26,SdCH2
26,PC27,n4Ring
27,PC28,n5aRing
28,PC29,n4Ring
29,PC30,ATSC4m
30,PC31,NssNH
31,PC32,n4HRing
32,PC33,BCUTm-1l
33,PC34,SsBr
34,PC35,ATSC5v
35,PC36,ATSC7v
36,PC37,NdsN
37,PC38,SMR_VSA2
38,PC39,C2SP1
39,PC40,SsBr
40,PC41,SaaN
41,PC42,SaaS
42,PC43,SdsN
43,PC44,SdsCH
44,PC45,nG12FaRing
45,PC46,NaaS
46,PC47,ATSC5i
47,PC48,SsSH
48,PC49,NsSH
49,PC50,n3HRing
50,PC51,n3HRing
51,PC52,SaaS
52,PC53,BCUTm-1l
53,PC54,n10FaHRing
54,PC55,NdsN
55,PC56,n7Ring
56,PC57,VSA_EState5
57,PC58,EState_VSA3
58,PC59,SaaS
59,PC60,SMR_VSA4
60,PC61,n10FHRing
61,PC62,nG12FaRing
62,PC63,nG12FaRing
63,PC64,SsssN
64,PC65,nG12FaRing
65,PC66,JGI5
