,PCX,Highest contributing feature
0,PC1,pfp356
1,PC2,pfp97
2,PC3,pfp113
3,PC4,pfp314
4,PC5,pfp721
5,PC6,pfp301
6,PC7,pfp385
7,PC8,pfp771
8,PC9,pfp114
9,PC10,pfp1
10,PC11,pfp164
11,PC12,pfp694
12,PC13,pfp283
13,PC14,pfp656
14,PC15,pfp486
15,PC16,pfp576
16,PC17,pfp241
17,PC18,pfp552
18,PC19,pfp241
19,PC20,pfp249
20,PC21,pfp519
21,PC22,pfp820
22,PC23,pfp171
23,PC24,pfp842
24,PC25,pfp364
25,PC26,pfp147
26,PC27,pfp139
27,PC28,pfp929
28,PC29,pfp207
29,PC30,pfp479
30,PC31,pfp364
31,PC32,pfp433
32,PC33,pfp652
33,PC34,pfp452
34,PC35,pfp350
35,PC36,pfp915
36,PC37,pfp303
37,PC38,pfp491
38,PC39,pfp661
39,PC40,pfp310
40,PC41,pfp900
41,PC42,pfp303
42,PC43,pfp661
43,PC44,pfp614
44,PC45,pfp221
45,PC46,pfp222
46,PC47,pfp221
47,PC48,pfp621
48,PC49,pfp728
49,PC50,pfp435
50,PC51,pfp303
51,PC52,pfp144
52,PC53,pfp664
53,PC54,pfp743
54,PC55,pfp229
55,PC56,pfp208
56,PC57,pfp14
57,PC58,pfp276
58,PC59,pfp215
59,PC60,pfp215
60,PC61,pfp81
61,PC62,pfp985
62,PC63,pfp215
63,PC64,pfp256
64,PC65,pfp985
65,PC66,pfp482
66,PC67,pfp361
67,PC68,pfp256
68,PC69,pfp453
69,PC70,pfp514
70,PC71,pfp272
71,PC72,pfp272
72,PC73,pfp272
73,PC74,pfp272
74,PC75,pfp123
75,PC76,pfp237
76,PC77,pfp215
77,PC78,pfp290
78,PC79,pfp290
79,PC80,pfp290
80,PC81,pfp290
81,PC82,pfp290
82,PC83,pfp749
83,PC84,pfp361
84,PC85,pfp909
85,PC86,pfp65
86,PC87,pfp918
87,PC88,pfp749
88,PC89,pfp749
89,PC90,pfp981
90,PC91,pfp339
91,PC92,pfp432
92,PC93,pfp749
93,PC94,pfp678
94,PC95,pfp913
95,PC96,pfp997
96,PC97,pfp319
97,PC98,pfp313
98,PC99,pfp119
99,PC100,pfp399
100,PC101,pfp66
101,PC102,pfp66
102,PC103,pfp123
103,PC104,pfp313
104,PC105,pfp599
105,PC106,pfp686
106,PC107,pfp587
107,PC108,pfp954
108,PC109,pfp66
109,PC110,pfp327
110,PC111,pfp587
111,PC112,pfp232
112,PC113,pfp70
113,PC114,pfp954
114,PC115,pfp523
115,PC116,pfp474
116,PC117,pfp587
117,PC118,pfp10
118,PC119,pfp430
119,PC120,pfp518
120,PC121,pfp825
121,PC122,pfp633
122,PC123,pfp88
123,PC124,pfp10
124,PC125,pfp408
125,PC126,pfp547
126,PC127,pfp569
127,PC128,pfp633
128,PC129,pfp308
129,PC130,pfp381
130,PC131,pfp474
131,PC132,pfp633
132,PC133,pfp633
133,PC134,pfp547
134,PC135,pfp700
135,PC136,pfp206
136,PC137,pfp481
137,PC138,pfp193
138,PC139,pfp119
139,PC140,pfp753
140,PC141,pfp460
141,PC142,pfp460
142,PC143,pfp657
143,PC144,pfp460
144,PC145,pfp657
145,PC146,pfp422
146,PC147,pfp460
147,PC148,pfp972
148,PC149,pfp753
149,PC150,pfp539
150,PC151,pfp605
151,PC152,pfp850
152,PC153,pfp539
153,PC154,pfp539
154,PC155,pfp979
155,PC156,pfp1007
156,PC157,pfp481
157,PC158,pfp37
158,PC159,pfp359
159,PC160,pfp1007
160,PC161,pfp1010
161,PC162,pfp317
162,PC163,pfp359
163,PC164,pfp640
164,PC165,pfp709
165,PC166,pfp1010
166,PC167,pfp975
167,PC168,pfp381
168,PC169,pfp131
169,PC170,pfp657
170,PC171,pfp784
171,PC172,pfp657
172,PC173,pfp320
173,PC174,pfp131
174,PC175,pfp843
175,PC176,pfp75
176,PC177,pfp30
177,PC178,pfp320
178,PC179,pfp320
179,PC180,pfp199
180,PC181,pfp647
181,PC182,pfp1010
182,PC183,pfp930
183,PC184,pfp414
184,PC185,pfp405
185,PC186,pfp440
186,PC187,pfp386
187,PC188,pfp15
188,PC189,pfp226
189,PC190,pfp414
190,PC191,pfp975
191,PC192,pfp167
192,PC193,pfp317
193,PC194,pfp88
194,PC195,pfp397
195,PC196,pfp784
196,PC197,pfp784
197,PC198,pfp789
198,PC199,pfp624
199,PC200,pfp789
200,PC201,pfp386
201,PC202,pfp789
202,PC203,pfp88
203,PC204,pfp286
204,PC205,pfp570
205,PC206,pfp1005
206,PC207,pfp330
207,PC208,pfp796
208,PC209,pfp796
209,PC210,pfp9
210,PC211,pfp968
211,PC212,pfp145
212,PC213,pfp22
213,PC214,pfp9
214,PC215,pfp501
215,PC216,pfp833
216,PC217,pfp680
217,PC218,pfp961
218,PC219,pfp811
219,PC220,pfp739
220,PC221,pfp737
221,PC222,pfp737
222,PC223,pfp811
223,PC224,pfp266
224,PC225,pfp680
225,PC226,pfp417
226,PC227,pfp11
227,PC228,pfp367
228,PC229,pfp62
229,PC230,pfp212
230,PC231,pfp92
231,PC232,pfp834
232,PC233,pfp961
233,PC234,pfp672
234,PC235,pfp898
235,PC236,pfp417
236,PC237,pfp502
237,PC238,pfp932
238,PC239,pfp672
239,PC240,pfp675
240,PC241,pfp675
241,PC242,pfp486
242,PC243,pfp675
243,PC244,pfp723
244,PC245,pfp413
