,PCX,Highest contributing feature
0,PC1,pfp356
1,PC2,pfp705
2,PC3,pfp881
3,PC4,pfp663
4,PC5,pfp990
5,PC6,pfp1001
6,PC7,pfp865
7,PC8,pfp531
8,PC9,pfp1002
9,PC10,pfp806
10,PC11,pfp660
11,PC12,pfp1002
12,PC13,pfp673
13,PC14,pfp173
14,PC15,pfp721
15,PC16,pfp1003
16,PC17,pfp804
17,PC18,pfp670
18,PC19,pfp564
19,PC20,pfp960
20,PC21,pfp53
21,PC22,pfp791
22,PC23,pfp296
23,PC24,pfp525
24,PC25,pfp267
25,PC26,pfp747
26,PC27,pfp372
27,PC28,pfp17
28,PC29,pfp125
29,PC30,pfp564
30,PC31,pfp671
31,PC32,pfp819
32,PC33,pfp698
33,PC34,pfp306
34,PC35,pfp978
35,PC36,pfp125
36,PC37,pfp799
37,PC38,pfp158
38,PC39,pfp212
39,PC40,pfp588
40,PC41,pfp946
41,PC42,pfp512
42,PC43,pfp148
43,PC44,pfp112
44,PC45,pfp332
45,PC46,pfp439
46,PC47,pfp226
47,PC48,pfp943
48,PC49,pfp306
49,PC50,pfp787
50,PC51,pfp745
51,PC52,pfp869
52,PC53,pfp643
53,PC54,pfp307
54,PC55,pfp724
55,PC56,pfp95
56,PC57,pfp869
57,PC58,pfp868
58,PC59,pfp210
59,PC60,pfp448
60,PC61,pfp584
61,PC62,pfp901
62,PC63,pfp17
63,PC64,pfp643
64,PC65,pfp1013
65,PC66,pfp639
66,PC67,pfp326
67,PC68,pfp57
68,PC69,pfp371
69,PC70,pfp93
70,PC71,pfp209
71,PC72,pfp77
72,PC73,pfp924
73,PC74,pfp409
74,PC75,pfp704
75,PC76,pfp143
76,PC77,pfp621
77,PC78,pfp288
78,PC79,pfp943
79,PC80,pfp615
80,PC81,pfp371
81,PC82,pfp287
82,PC83,pfp186
83,PC84,pfp344
84,PC85,pfp444
85,PC86,pfp444
86,PC87,pfp968
87,PC88,pfp49
88,PC89,pfp607
89,PC90,pfp227
90,PC91,pfp933
91,PC92,pfp785
92,PC93,pfp627
93,PC94,pfp945
94,PC95,pfp168
95,PC96,pfp873
96,PC97,pfp876
97,PC98,pfp436
98,PC99,pfp796
99,PC100,pfp999
100,PC101,pfp513
101,PC102,pfp834
102,PC103,pfp513
103,PC104,pfp878
104,PC105,pfp284
105,PC106,pfp383
106,PC107,pfp205
107,PC108,pfp627
108,PC109,pfp802
109,PC110,pfp633
110,PC111,pfp627
111,PC112,pfp543
112,PC113,pfp130
113,PC114,pfp681
114,PC115,pfp763
115,PC116,pfp834
116,PC117,pfp543
117,PC118,pfp713
118,PC119,pfp627
119,PC120,pfp489
120,PC121,pfp651
121,PC122,pfp543
122,PC123,pfp788
123,PC124,pfp854
124,PC125,pfp992
125,PC126,pfp495
126,PC127,pfp3
127,PC128,pfp913
128,PC129,pfp812
129,PC130,pfp405
130,PC131,pfp765
131,PC132,pfp635
132,PC133,pfp604
133,PC134,pfp26
134,PC135,pfp604
135,PC136,pfp201
136,PC137,pfp604
137,PC138,pfp830
138,PC139,pfp347
139,PC140,pfp227
140,PC141,pfp172
141,PC142,pfp545
142,PC143,pfp336
143,PC144,pfp704
144,PC145,pfp286
145,PC146,pfp545
146,PC147,pfp177
147,PC148,pfp864
148,PC149,pfp627
149,PC150,pfp551
150,PC151,pfp765
151,PC152,pfp503
152,PC153,pfp503
153,PC154,pfp204
154,PC155,pfp545
155,PC156,pfp288
156,PC157,pfp682
157,PC158,pfp830
158,PC159,pfp634
159,PC160,pfp377
160,PC161,pfp85
161,PC162,pfp599
162,PC163,pfp830
163,PC164,pfp645
164,PC165,pfp435
165,PC166,pfp206
166,PC167,pfp387
167,PC168,pfp839
168,PC169,pfp68
169,PC170,pfp206
170,PC171,pfp793
171,PC172,pfp355
172,PC173,pfp162
173,PC174,pfp844
174,PC175,pfp468
175,PC176,pfp844
176,PC177,pfp276
177,PC178,pfp538
178,PC179,pfp435
179,PC180,pfp619
180,PC181,pfp553
181,PC182,pfp0
182,PC183,pfp856
183,PC184,pfp560
184,PC185,pfp22
185,PC186,pfp276
186,PC187,pfp545
187,PC188,pfp958
188,PC189,pfp538
189,PC190,pfp749
190,PC191,pfp547
191,PC192,pfp848
192,PC193,pfp798
193,PC194,pfp560
194,PC195,pfp547
195,PC196,pfp958
196,PC197,pfp291
197,PC198,pfp384
198,PC199,pfp560
199,PC200,pfp560
200,PC201,pfp560
201,PC202,pfp552
202,PC203,pfp466
203,PC204,pfp964
204,PC205,pfp446
205,PC206,pfp552
206,PC207,pfp256
207,PC208,pfp552
208,PC209,pfp560
209,PC210,pfp619
210,PC211,pfp560
211,PC212,pfp552
212,PC213,pfp560
213,PC214,pfp696
214,PC215,pfp466
215,PC216,pfp440
216,PC217,pfp256
217,PC218,pfp877
218,PC219,pfp982
219,PC220,pfp800
220,PC221,pfp856
221,PC222,pfp553
222,PC223,pfp26
223,PC224,pfp453
224,PC225,pfp547
225,PC226,pfp657
226,PC227,pfp99
227,PC228,pfp683
228,PC229,pfp1018
229,PC230,pfp977
230,PC231,pfp256
231,PC232,pfp1018
232,PC233,pfp1018
233,PC234,pfp1018
234,PC235,pfp162
235,PC236,pfp374
236,PC237,pfp99
237,PC238,pfp964
238,PC239,pfp683
239,PC240,pfp977
240,PC241,pfp696
241,PC242,pfp1018
242,PC243,pfp256
243,PC244,pfp1018
244,PC245,pfp763
245,PC246,pfp256
246,PC247,pfp977
247,PC248,pfp977
248,PC249,pfp256
249,PC250,pfp977
250,PC251,pfp412
251,PC252,pfp1018
252,PC253,pfp977
253,PC254,pfp683
254,PC255,pfp182
255,PC256,pfp1022
256,PC257,pfp300
257,PC258,pfp813
258,PC259,pfp813
259,PC260,pfp182
260,PC261,pfp182
261,PC262,pfp99
262,PC263,pfp99
263,PC264,pfp813
264,PC265,pfp374
265,PC266,pfp291
266,PC267,pfp877
267,PC268,pfp291
268,PC269,pfp813
269,PC270,pfp300
270,PC271,pfp813
271,PC272,pfp182
272,PC273,pfp99
273,PC274,pfp696
274,PC275,pfp964
275,PC276,pfp51
276,PC277,pfp813
277,PC278,pfp813
278,PC279,pfp230
279,PC280,pfp964
280,PC281,pfp230
281,PC282,pfp291
282,PC283,pfp874
283,PC284,pfp291
284,PC285,pfp810
285,PC286,pfp230
286,PC287,pfp631
287,PC288,pfp640
288,PC289,pfp626
289,PC290,pfp394
290,PC291,pfp598
291,PC292,pfp374
292,PC293,pfp18
293,PC294,pfp608
294,PC295,pfp302
295,PC296,pfp260
296,PC297,pfp518
297,PC298,pfp669
298,PC299,pfp608
299,PC300,pfp874
300,PC301,pfp292
301,PC302,pfp412
302,PC303,pfp964
303,PC304,pfp696
304,PC305,pfp374
305,PC306,pfp382
306,PC307,pfp185
307,PC308,pfp774
308,PC309,pfp245
309,PC310,pfp760
310,PC311,pfp785
311,PC312,pfp422
312,PC313,pfp631
313,PC314,pfp256
314,PC315,pfp373
315,PC316,pfp774
316,PC317,pfp438
317,PC318,pfp1014
318,PC319,pfp703
319,PC320,pfp585
320,PC321,pfp640
321,PC322,pfp489
322,PC323,pfp959
323,PC324,pfp616
324,PC325,pfp481
325,PC326,pfp153
326,PC327,pfp616
327,PC328,pfp971
328,PC329,pfp18
329,PC330,pfp957
330,PC331,pfp640
331,PC332,pfp654
332,PC333,pfp76
333,PC334,pfp230
334,PC335,pfp640
335,PC336,pfp373
336,PC337,pfp431
337,PC338,pfp632
338,PC339,pfp539
339,PC340,pfp481
340,PC341,pfp373
341,PC342,pfp9
342,PC343,pfp487
343,PC344,pfp539
344,PC345,pfp422
345,PC346,pfp56
346,PC347,pfp414
347,PC348,pfp654
348,PC349,pfp127
349,PC350,pfp126
350,PC351,pfp117
351,PC352,pfp624
352,PC353,pfp709
353,PC354,pfp268
354,PC355,pfp422
355,PC356,pfp9
356,PC357,pfp957
357,PC358,pfp776
358,PC359,pfp732
359,PC360,pfp654
360,PC361,pfp442
361,PC362,pfp539
362,PC363,pfp146
363,PC364,pfp9
364,PC365,pfp9
365,PC366,pfp703
366,PC367,pfp1007
367,PC368,pfp539
368,PC369,pfp539
369,PC370,pfp9
370,PC371,pfp784
371,PC372,pfp1007
372,PC373,pfp753
373,PC374,pfp481
