,PCX,Highest contributing feature
0,PC1,pfp356
1,PC2,pfp705
2,PC3,pfp605
3,PC4,pfp942
4,PC5,pfp720
5,PC6,pfp1001
6,PC7,pfp656
7,PC8,pfp297
8,PC9,pfp926
9,PC10,pfp597
10,PC11,pfp721
11,PC12,pfp650
12,PC13,pfp173
13,PC14,pfp462
14,PC15,pfp900
15,PC16,pfp967
16,PC17,pfp323
17,PC18,pfp842
18,PC19,pfp664
19,PC20,pfp261
20,PC21,pfp239
21,PC22,pfp697
22,PC23,pfp758
23,PC24,pfp792
24,PC25,pfp694
25,PC26,pfp770
26,PC27,pfp89
27,PC28,pfp328
28,PC29,pfp754
29,PC30,pfp672
30,PC31,pfp655
31,PC32,pfp109
32,PC33,pfp339
33,PC34,pfp611
34,PC35,pfp890
35,PC36,pfp804
36,PC37,pfp804
37,PC38,pfp235
38,PC39,pfp775
39,PC40,pfp804
40,PC41,pfp264
41,PC42,pfp101
42,PC43,pfp919
43,PC44,pfp890
44,PC45,pfp671
45,PC46,pfp390
46,PC47,pfp674
47,PC48,pfp224
48,PC49,pfp868
49,PC50,pfp976
50,PC51,pfp448
51,PC52,pfp210
52,PC53,pfp439
53,PC54,pfp727
54,PC55,pfp150
55,PC56,pfp819
56,PC57,pfp879
57,PC58,pfp171
58,PC59,pfp492
59,PC60,pfp268
60,PC61,pfp628
61,PC62,pfp210
62,PC63,pfp242
63,PC64,pfp439
64,PC65,pfp81
65,PC66,pfp311
66,PC67,pfp639
67,PC68,pfp584
68,PC69,pfp876
69,PC70,pfp767
70,PC71,pfp607
71,PC72,pfp639
72,PC73,pfp571
73,PC74,pfp409
74,PC75,pfp225
75,PC76,pfp444
76,PC77,pfp822
77,PC78,pfp444
78,PC79,pfp186
79,PC80,pfp91
80,PC81,pfp876
81,PC82,pfp704
82,PC83,pfp517
83,PC84,pfp643
84,PC85,pfp88
85,PC86,pfp8
86,PC87,pfp473
87,PC88,pfp859
88,PC89,pfp513
89,PC90,pfp368
90,PC91,pfp963
91,PC92,pfp945
92,PC93,pfp917
93,PC94,pfp740
94,PC95,pfp184
95,PC96,pfp184
96,PC97,pfp780
97,PC98,pfp383
98,PC99,pfp796
99,PC100,pfp945
100,PC101,pfp1006
101,PC102,pfp387
102,PC103,pfp580
103,PC104,pfp20
104,PC105,pfp998
105,PC106,pfp313
106,PC107,pfp278
107,PC108,pfp999
108,PC109,pfp796
109,PC110,pfp405
110,PC111,pfp945
111,PC112,pfp217
112,PC113,pfp152
113,PC114,pfp309
114,PC115,pfp785
115,PC116,pfp713
116,PC117,pfp340
117,PC118,pfp405
118,PC119,pfp543
119,PC120,pfp543
120,PC121,pfp604
121,PC122,pfp981
122,PC123,pfp167
123,PC124,pfp49
124,PC125,pfp521
125,PC126,pfp999
126,PC127,pfp188
127,PC128,pfp635
128,PC129,pfp205
129,PC130,pfp84
130,PC131,pfp827
131,PC132,pfp917
132,PC133,pfp247
133,PC134,pfp563
134,PC135,pfp247
135,PC136,pfp928
136,PC137,pfp604
137,PC138,pfp532
138,PC139,pfp837
139,PC140,pfp279
140,PC141,pfp685
141,PC142,pfp653
142,PC143,pfp304
143,PC144,pfp728
144,PC145,pfp653
145,PC146,pfp85
146,PC147,pfp474
147,PC148,pfp382
148,PC149,pfp972
149,PC150,pfp280
150,PC151,pfp864
151,PC152,pfp377
152,PC153,pfp848
153,PC154,pfp387
154,PC155,pfp653
155,PC156,pfp103
156,PC157,pfp844
157,PC158,pfp563
158,PC159,pfp744
159,PC160,pfp815
160,PC161,pfp744
161,PC162,pfp593
162,PC163,pfp279
163,PC164,pfp752
164,PC165,pfp553
165,PC166,pfp331
166,PC167,pfp796
167,PC168,pfp538
168,PC169,pfp152
169,PC170,pfp733
170,PC171,pfp538
171,PC172,pfp912
172,PC173,pfp947
173,PC174,pfp827
174,PC175,pfp729
175,PC176,pfp162
176,PC177,pfp425
177,PC178,pfp815
178,PC179,pfp749
179,PC180,pfp514
180,PC181,pfp653
181,PC182,pfp815
182,PC183,pfp706
183,PC184,pfp51
184,PC185,pfp992
185,PC186,pfp162
186,PC187,pfp410
187,PC188,pfp560
188,PC189,pfp177
189,PC190,pfp552
190,PC191,pfp848
191,PC192,pfp560
192,PC193,pfp514
193,PC194,pfp421
194,PC195,pfp600
195,PC196,pfp514
196,PC197,pfp958
197,PC198,pfp825
198,PC199,pfp856
199,PC200,pfp992
200,PC201,pfp466
201,PC202,pfp281
202,PC203,pfp958
203,PC204,pfp916
204,PC205,pfp752
205,PC206,pfp793
206,PC207,pfp103
207,PC208,pfp560
208,PC209,pfp949
209,PC210,pfp547
210,PC211,pfp992
211,PC212,pfp560
212,PC213,pfp560
213,PC214,pfp552
214,PC215,pfp765
215,PC216,pfp552
216,PC217,pfp256
217,PC218,pfp765
218,PC219,pfp793
219,PC220,pfp683
220,PC221,pfp68
221,PC222,pfp552
222,PC223,pfp293
223,PC224,pfp215
224,PC225,pfp992
225,PC226,pfp215
226,PC227,pfp798
227,PC228,pfp552
228,PC229,pfp384
229,PC230,pfp1023
230,PC231,pfp1018
231,PC232,pfp1018
232,PC233,pfp964
233,PC234,pfp256
234,PC235,pfp1018
235,PC236,pfp954
236,PC237,pfp765
237,PC238,pfp256
238,PC239,pfp159
239,PC240,pfp122
240,PC241,pfp215
241,PC242,pfp977
242,PC243,pfp965
243,PC244,pfp977
244,PC245,pfp256
245,PC246,pfp1018
246,PC247,pfp466
247,PC248,pfp977
248,PC249,pfp1018
249,PC250,pfp1018
250,PC251,pfp159
251,PC252,pfp374
252,PC253,pfp99
253,PC254,pfp256
254,PC255,pfp765
255,PC256,pfp48
256,PC257,pfp374
257,PC258,pfp813
258,PC259,pfp215
259,PC260,pfp182
260,PC261,pfp938
261,PC262,pfp374
262,PC263,pfp182
263,PC264,pfp182
264,PC265,pfp300
265,PC266,pfp182
266,PC267,pfp388
267,PC268,pfp99
268,PC269,pfp813
269,PC270,pfp765
270,PC271,pfp964
271,PC272,pfp182
272,PC273,pfp291
273,PC274,pfp813
274,PC275,pfp813
275,PC276,pfp753
276,PC277,pfp813
277,PC278,pfp813
278,PC279,pfp510
279,PC280,pfp374
280,PC281,pfp26
281,PC282,pfp813
282,PC283,pfp291
283,PC284,pfp374
284,PC285,pfp99
285,PC286,pfp374
286,PC287,pfp646
287,PC288,pfp813
288,PC289,pfp291
289,PC290,pfp971
290,PC291,pfp373
291,PC292,pfp68
292,PC293,pfp208
293,PC294,pfp1023
294,PC295,pfp830
295,PC296,pfp964
296,PC297,pfp98
297,PC298,pfp279
298,PC299,pfp977
299,PC300,pfp957
300,PC301,pfp98
301,PC302,pfp874
302,PC303,pfp98
303,PC304,pfp266
304,PC305,pfp957
305,PC306,pfp290
306,PC307,pfp354
307,PC308,pfp616
308,PC309,pfp446
309,PC310,pfp211
310,PC311,pfp422
311,PC312,pfp640
312,PC313,pfp977
313,PC314,pfp68
314,PC315,pfp539
315,PC316,pfp962
316,PC317,pfp669
317,PC318,pfp640
318,PC319,pfp640
319,PC320,pfp422
320,PC321,pfp111
321,PC322,pfp765
322,PC323,pfp373
323,PC324,pfp469
324,PC325,pfp987
325,PC326,pfp317
326,PC327,pfp98
327,PC328,pfp949
328,PC329,pfp539
329,PC330,pfp958
330,PC331,pfp446
331,PC332,pfp1014
332,PC333,pfp651
333,PC334,pfp269
334,PC335,pfp46
335,PC336,pfp957
336,PC337,pfp9
337,PC338,pfp379
338,PC339,pfp635
339,PC340,pfp539
340,PC341,pfp324
341,PC342,pfp957
342,PC343,pfp422
343,PC344,pfp784
344,PC345,pfp435
345,PC346,pfp411
346,PC347,pfp527
347,PC348,pfp9
348,PC349,pfp539
349,PC350,pfp172
350,PC351,pfp594
351,PC352,pfp610
352,PC353,pfp527
353,PC354,pfp347
354,PC355,pfp527
355,PC356,pfp595
356,PC357,pfp250
357,PC358,pfp126
358,PC359,pfp481
359,PC360,pfp137
360,PC361,pfp601
361,PC362,pfp286
362,PC363,pfp257
363,PC364,pfp137
364,PC365,pfp640
365,PC366,pfp240
366,PC367,pfp137
367,PC368,pfp746
368,PC369,pfp481
369,PC370,pfp9
370,PC371,pfp1007
371,PC372,pfp539
372,PC373,pfp624
373,PC374,pfp1007
374,PC375,pfp1007
